id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3891;6;1;0;0;0;0;0;0;1;0;0;0;0;2;334.3032222
3892;8;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3893;2;1;1;1;0;0;0;0;0;1;0;0;0;4;327.6444278
3894;5;0;1;1;0;0;0;1;0;1;0;0;0;4;327.6444278
3895;2;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3896;1;0;0;0;0;0;0;0;0;0;0;1;0;1;369.2993357
3897;1;0;0;0;0;1;0;0;0;0;0;0;0;1;369.2993357
3898;6;0;0;0;0;0;0;1;0;1;0;0;0;2;334.3032222
3899;7;0;0;0;1;0;0;1;0;0;1;0;0;3;356.4039918
3900;7;1;0;1;0;0;0;1;0;1;0;0;0;4;327.6444278
3901;7;1;0;1;1;0;0;0;1;1;0;0;0;5;348.5042866
3902;5;0;0;0;1;0;0;0;2;0;1;0;0;4;327.6444278
3903;5;0;1;1;0;0;0;0;1;1;0;0;0;4;327.6444278
3904;3;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3905;7;0;0;1;0;0;0;0;0;0;1;0;0;2;334.3032222
3906;8;0;0;1;0;0;1;0;0;0;0;1;0;3;356.4039918
3907;2;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3908;2;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3909;4;1;1;0;1;0;0;0;0;0;1;0;1;5;348.5042866
3910;8;0;0;1;0;0;0;0;0;0;0;0;1;2;334.3032222
3911;3;0;0;0;0;0;0;0;0;0;1;0;0;1;369.2993357
3912;7;0;0;0;0;0;0;0;0;0;0;1;0;1;369.2993357
3913;2;1;0;1;0;0;0;0;1;1;0;0;0;4;327.6444278
3914;3;0;1;1;0;0;0;0;1;1;0;1;0;5;348.5042866
3915;8;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3916;5;0;0;1;0;0;1;0;0;0;0;0;1;3;356.4039918
3917;1;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3918;6;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3919;5;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3920;2;0;0;0;0;0;0;0;2;0;0;0;1;3;356.4039918
3921;4;0;0;0;1;0;1;0;1;1;0;0;0;4;327.6444278
3922;8;0;1;1;0;1;0;0;1;0;1;0;0;5;348.5042866
3923;8;0;0;1;0;0;0;0;0;1;1;0;1;4;327.6444278
3924;6;0;1;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3925;6;2;0;0;0;0;1;0;0;1;0;0;1;5;348.5042866
3926;8;0;0;0;1;0;0;0;2;0;1;0;0;4;327.6444278
3927;8;0;0;0;0;1;0;0;0;0;0;1;1;3;356.4039918
3928;1;0;0;1;0;0;0;0;0;0;0;1;0;2;334.3032222
3929;2;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3930;6;0;0;0;0;1;0;0;0;0;0;0;0;1;369.2993357
3931;1;0;0;0;0;0;0;0;0;0;1;0;0;1;369.2993357
3932;5;0;1;0;0;1;0;0;0;0;0;1;0;3;356.4039918
3933;8;0;0;1;0;0;0;0;0;0;0;1;0;2;334.3032222
3934;1;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3935;3;0;0;0;0;0;0;0;0;0;0;1;0;1;369.2993357
3936;8;0;2;0;1;0;0;0;1;0;1;0;0;5;348.5042866
3937;3;0;1;1;0;0;0;0;1;1;0;0;0;4;327.6444278
3938;7;0;0;0;0;0;0;0;0;1;0;0;0;1;369.2993357
3939;3;0;0;0;1;0;0;1;0;1;1;0;0;4;327.6444278
3940;1;0;0;0;0;1;0;0;1;0;1;0;0;3;356.4039918
3941;6;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3942;2;0;0;0;0;0;1;0;0;0;0;0;0;1;369.2993357
3943;2;0;2;1;0;0;0;0;0;1;0;0;0;4;327.6444278
3944;8;0;1;1;1;0;0;0;0;0;1;0;0;4;327.6444278
3945;4;0;1;1;0;1;0;0;1;0;1;0;0;5;348.5042866
3946;6;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3947;5;0;1;0;1;0;0;0;1;1;0;0;0;4;327.6444278
3948;7;1;0;1;0;0;0;1;1;1;0;0;0;5;348.5042866
3949;8;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3950;3;0;0;0;0;0;0;0;0;0;1;0;0;1;369.2993357
3951;3;0;1;1;0;0;0;0;1;1;0;0;0;4;327.6444278
3952;4;1;0;1;0;0;0;1;0;1;0;0;0;4;327.6444278
3953;3;1;0;0;1;0;0;0;2;1;0;0;0;5;348.5042866
3954;2;0;1;0;1;0;0;0;1;1;0;0;0;4;327.6444278
3955;4;1;2;1;0;0;0;0;0;1;0;0;0;5;348.5042866
3956;5;0;0;0;0;0;0;0;0;0;0;1;1;2;334.3032222
3957;3;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3958;7;0;0;0;1;0;0;0;0;0;0;1;0;2;334.3032222
3959;7;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3960;6;0;0;0;0;0;0;0;0;1;0;0;1;2;334.3032222
3961;4;0;0;0;0;0;1;0;0;0;0;0;0;1;369.2993357
3962;6;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3963;8;0;0;0;0;0;1;0;0;0;0;0;0;1;369.2993357
3964;4;0;2;0;0;1;0;0;0;0;0;1;0;4;327.6444278
3965;7;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3966;7;0;0;0;0;1;0;0;0;0;0;1;1;3;356.4039918
3967;8;0;1;0;1;0;0;0;1;0;1;0;0;4;327.6444278
3968;6;0;0;1;0;0;0;2;0;1;0;0;0;4;327.6444278
3969;6;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3970;1;0;0;1;0;0;0;0;0;1;1;0;0;3;356.4039918
3971;5;0;1;0;0;1;0;0;0;0;1;0;0;3;356.4039918
3972;5;2;0;1;0;0;0;1;0;1;0;0;0;5;348.5042866
3973;2;0;0;1;0;0;1;0;0;0;0;0;1;3;356.4039918
3974;4;1;0;1;0;0;0;1;0;1;0;0;0;4;327.6444278
3975;4;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3976;6;0;0;0;1;0;0;0;0;0;0;0;0;1;369.2993357
3977;7;0;0;0;0;0;0;0;1;0;1;0;0;2;334.3032222
3978;2;0;0;0;0;0;0;0;0;1;0;1;0;2;334.3032222
3979;8;0;1;0;1;0;0;0;0;1;1;0;0;4;327.6444278
3980;4;0;2;0;1;0;0;0;1;0;1;0;0;5;348.5042866
3981;4;0;1;0;1;0;0;1;1;0;1;0;0;5;348.5042866
3982;7;1;0;1;0;0;0;0;0;1;0;0;0;3;356.4039918
3983;1;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3984;3;2;0;1;0;0;0;0;0;1;0;0;0;4;327.6444278
3985;8;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3986;8;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3987;2;0;0;0;0;0;0;0;0;1;0;0;0;1;369.2993357
3988;1;0;0;1;0;1;0;0;0;0;0;0;0;2;334.3032222
3989;1;0;0;1;1;0;0;0;1;0;1;0;0;4;327.6444278
3990;4;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3991;7;0;0;1;0;0;0;0;0;0;1;0;0;2;334.3032222
3992;4;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3993;1;0;2;1;0;0;0;1;0;1;0;0;0;5;348.5042866
3994;4;0;0;0;0;0;1;0;0;0;0;0;0;1;369.2993357
3995;2;0;1;0;1;0;0;1;0;0;1;0;0;4;327.6444278
3996;7;0;2;1;0;0;0;0;0;1;0;0;0;4;327.6444278
3997;8;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
