id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3239;4;1;0;0;0;0;0;0;0;1;0;0;0;2;386.9712
3240;4;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3241;6;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3242;2;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3243;4;0;0;0;0;0;0;0;1;1;0;0;0;2;386.9712
3244;2;0;0;1;0;0;0;0;1;1;0;0;0;3;360.3307095
3245;2;0;0;0;1;0;0;0;1;1;0;0;0;3;360.3307095
3246;3;0;0;0;1;0;0;0;2;1;0;0;0;4;369.9241363
3247;2;0;0;0;0;0;1;0;0;1;0;1;0;3;360.3307095
3248;5;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
3249;4;0;1;0;0;1;0;0;1;0;1;0;0;4;369.9241363
3250;6;0;0;0;1;0;0;0;0;0;0;1;0;2;386.9712
3251;4;0;2;0;1;0;0;0;1;0;1;0;0;5;317.0452195
3252;4;0;0;1;0;0;0;0;0;0;0;0;0;1;457.517035
3253;2;0;0;2;0;1;0;0;1;0;1;0;0;5;317.0452195
3254;5;0;2;0;1;0;0;0;0;1;1;0;0;5;317.0452195
3255;6;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
3256;6;0;1;0;1;0;0;0;0;0;1;0;0;3;360.3307095
3257;3;0;1;0;1;0;0;0;1;1;0;0;0;4;369.9241363
3258;5;0;0;0;0;0;1;0;2;0;1;0;0;4;369.9241363
3259;4;0;2;1;0;0;0;0;1;1;0;0;0;5;317.0452195
3260;1;0;0;0;0;1;0;0;0;0;0;0;0;1;457.517035
3261;5;0;0;0;0;1;0;0;0;0;0;0;0;1;457.517035
3262;6;0;0;0;0;0;0;1;0;1;0;0;1;3;360.3307095
3263;6;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
3264;5;0;0;0;0;1;0;0;0;0;1;0;0;2;386.9712
3265;4;0;0;1;0;1;0;0;0;0;1;0;0;3;360.3307095
3266;4;0;0;0;1;0;0;0;0;0;1;0;0;2;386.9712
3267;4;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
3268;1;0;1;1;1;0;0;0;1;0;1;0;0;5;317.0452195
3269;4;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3270;3;0;0;0;1;0;1;0;0;0;0;0;1;3;360.3307095
3271;2;0;0;2;1;0;0;0;0;0;1;0;0;4;369.9241363
